=== Searching 10000 chars, needle near beginning ===
strpos                    :    0.004 ms | 451.55 KB | found: yes
stripos                   :    0.002 ms | 452.12 KB | found: yes
strrpos                   :    0.008 ms | 452.49 KB | found: yes
str_contains              :    0.000 ms | 452.86 KB | found: yes
preg_match /XYZ/          :    0.085 ms | 453.23 KB | found: yes
preg_match /xyz/i         :    0.011 ms | 453.59 KB | found: yes
preg_match preg_quote     :    0.004 ms | 453.96 KB | found: yes
substr_compare loop       :    0.007 ms | 454.33 KB | found: yes
manual loop               :    0.007 ms | 454.70 KB | found: yes
chunk generator           :    0.011 ms | 456.76 KB | found: yes
slice generator           :    0.019 ms | 456.06 KB | found: yes

=== Searching 10000 chars, needle near middle ===
strpos                    :    0.001 ms | 451.55 KB | found: yes
stripos                   :    0.001 ms | 452.12 KB | found: yes
strrpos                   :    0.004 ms | 452.49 KB | found: yes
str_contains              :    0.000 ms | 452.86 KB | found: yes
preg_match /XYZ/          :    0.001 ms | 453.23 KB | found: yes
preg_match /xyz/i         :    0.000 ms | 453.59 KB | found: yes
preg_match preg_quote     :    0.001 ms | 453.96 KB | found: yes
substr_compare loop       :    0.201 ms | 454.33 KB | found: yes
manual loop               :    0.261 ms | 454.70 KB | found: yes
chunk generator           :    0.003 ms | 458.01 KB | found: yes
slice generator           :    0.745 ms | 456.06 KB | found: yes

=== Searching 10000 chars, needle near end ===
strpos                    :    0.001 ms | 451.55 KB | found: yes
stripos                   :    0.001 ms | 452.12 KB | found: yes
strrpos                   :    0.001 ms | 452.49 KB | found: yes
str_contains              :    0.001 ms | 452.86 KB | found: yes
preg_match /XYZ/          :    0.001 ms | 453.23 KB | found: yes
preg_match /xyz/i         :    0.001 ms | 453.59 KB | found: yes
preg_match preg_quote     :    0.001 ms | 453.96 KB | found: yes
substr_compare loop       :    0.404 ms | 454.33 KB | found: yes
manual loop               :    0.530 ms | 454.70 KB | found: yes
chunk generator           :    0.005 ms | 458.01 KB | found: yes
slice generator           :    1.504 ms | 456.06 KB | found: yes

=== Searching 100000 chars, needle near beginning ===
strpos                    :    0.001 ms | 627.55 KB | found: yes
stripos                   :    0.003 ms | 628.12 KB | found: yes
strrpos                   :    0.067 ms | 628.49 KB | found: yes
str_contains              :    0.000 ms | 628.86 KB | found: yes
preg_match /XYZ/          :    0.001 ms | 629.23 KB | found: yes
