Method          Mean      Median    P95       Min       Max       Mem KB
--------------------------------------------------------------------------------
explode         0.085     0.085     0.092     0.081     0.126     5.500
preg_split      0.091     0.091     0.096     0.087     0.109     1.656
strtok          0.113     0.112     0.118     0.110     0.131     0.000
strcspn         0.144     0.143     0.154     0.135     0.167     0.000
strpos          0.147     0.146     0.151     0.142     0.161     0.000
zero alloc      0.147     0.147     0.150     0.144     0.163     0.000
simd chunk      0.193     0.192     0.200     0.184     0.214     0.000
generator       0.207     0.206     0.223     0.198     0.267     0.000
manual          0.472     0.470     0.505     0.446     0.567     0.000
