type,number,title,login,labels,assignees,milestone,comments,"fixes issues","issue milestones",created_at
PR,5924,"Fixes #5914",Sesquipedalian,,,,0,,,2020-01-07
Issue,5923,"2.0.16 Changes Needs Merged",jdarwood007,,,RC3,0,,,2020-01-07
PR,5922,"Make backtrace link more visible to end users",SychO9,Tweak,,,0,5629,Final,2020-01-06
PR,5921,"Fix cloning of drafts when saving after a preview",SychO9,PM,,,0,5874,,2020-01-06
Issue,5920,"PM Drafts pagination not working",SychO9,PM,,,0,,,2020-01-06
Issue,5919,"Server Settings page error",SychO9,"Minor Bug",,,0,,,2020-01-06
PR,5918,"Theme adjustments (revised #5461)",SychO9,Theme,,,0,,,2020-01-06
Issue,5914,"Proxy cache cleanup",sbulen,Proxy,,,1,,,2020-01-04
Issue,5913,"Installer/upgrader should check for fileinfo",sbulen,"Installer, Upgrader",,,0,,,2020-01-03
Issue,5911,"Birthdate for those with no birthdates set",SychO9,"Database, MySQL",,,3,,,2020-01-01
PR,5909,"Add PHP 7.4 to Travis",Oldiesmann,"PHP version support",,,1,,,2019-12-30
Issue,5906,"Settings table only allows settings 30 characters long",jdarwood007,"Database, MySQL, Performance",,,14,,,2019-12-25
PR,5900,"Lock on writing cache",MissAllSunday,Caching,,Final,16,5826,Final,2019-12-17
PR,5893,"Alerts Configuration generates errors",jdarwood007,"Minor Bug",,RC3,0,,,2019-12-14
PR,5891,"PHP 7.4 Deprecations",jdarwood007,"Anti-spam, PHP version support, Package Manager, Posting, Registration",,RC3,12,,,2019-12-14
Issue,5881,"Long quote posts  Expand /  Shrink (Feature Request)",gevv,"New feature",,,2,,,2019-12-03
Issue,5879,"Confusing CSS",pouvik,Theme,,,1,,,2019-11-29
Issue,5878,"PM notification email: recipient redundancy",m4z,"Notifications, PM",,,2,,,2019-11-29
Issue,5877,"Search.php: 8: Undefined variable: approve_query",m4z,Search,,,2,,,2019-11-28
Issue,5874,"PM drafts - spawns clones",sbulen,PM,,,0,,,2019-11-22
PR,5871,"Confirm Logout and Redirects",jdarwood007,"Login/Sessions, Theme",,Final,0,5869,Final,2019-11-16
Issue,5869,"Logout should have a prompt screen",jdarwood007,Login/Sessions,,Final,0,,,2019-11-12
Issue,5868,"cron.php doesn't initialize smileys and attempts to use SERVER_PROTOCOL",m4z,"Background tasks",,,0,,,2019-11-10
Issue,5863,"Calendar holidays - show wrong dates in different timezones",sbulen,Calendar,,,0,,,2019-11-08
Issue,5862,"Calendar dropdowns - both date & time dropdown update the date field",sbulen,Calendar,,,1,,,2019-11-08
Issue,5858,"When I myself move or sticky a topic, I get notified (alert + mail)",m4z,Notifications,,Final,1,,,2019-11-04
Issue,5856,"Incorrect permissions on Package Manager dirs result in ""empty"" page",m4z,"Package Manager",,Final,0,,,2019-11-04
Issue,5847,"Spellcheck not showing",smfbigguy,"Editor, Spellcheck",,,0,,,2019-10-25
Issue,5843," Youtube bb and center alignment ",sbulen,BBC,,,1,,,2019-10-24
Issue,5842,"Default time for calendar events",sbulen,Calendar,Sesquipedalian,,1,,,2019-10-24
PR,5837,"Handle 4-byte utf8 in script.js",sbulen,Charset/Encoding,,Final,4,5804,Final,2019-10-22
Issue,5834,"Special chars in forum name (:) give gmail grief in mailings",sbulen,Mail,,,2,,,2019-10-19
Issue,5832,"Paid subscription doesn't notify user",sbulen,"Mail, Paid Subs",,,2,,,2019-10-19
Issue,5830,"Manage boards conflicts",sbulen,"Membergroups, Permissions",,,2,,,2019-10-18
Issue,5826,"Infrequent caching error for modSettings",sbulen,Caching,,Final,19,,,2019-10-09
Issue,5822,"Undefined index: can manage boards",sbulen,Notifications,,Final,0,,,2019-10-07
Issue,5821,"Setting conflicts - ""don't allow post text"" vs ""Receive message body in e-mails""",sbulen,Notifications,,Final,0,,,2019-10-07
PR,5820,"Allow to override the default behavior of db case sensitive",albertlast,"MySQL, PostgreSQL",,Final,11,,,2019-10-04
Issue,5818,"Child boards with new posts: presentation and PHP",StealthWombat,Theme,,Final,0,,,2019-10-03
PR,5815,"Implements new, more robust version of updateSettingsFile()",Sesquipedalian,"Enhancement, Installer, Performance, Upgrader",,Final,3,,,2019-09-30
PR,5812,"Misc theme fixes",SychO9,Theme,,,6,,,2019-09-29
Issue,5804,"preview didn't support mb4 chars",albertlast,"Charset/Encoding, Has fix",,Final,1,,,2019-09-14
Issue,5797,"1.1 upgrade issue",sbulen,"Has fix, Upgrader",,Final,0,,,2019-09-09
PR,5796,"Board category parse desc",MissAllSunday,Performance,,Final,8,5734,Final,2019-09-09
Issue,5792,"Previewing a Poll thread results in error message",m4z,Polls,,Final,1,,,2019-09-04
Issue,5785,"Helptext of Configuration > Themes and Layout",frandominguez03,Language,,Final,1,,,2019-08-28
